event_id,match_id,minute,event_type,team_id,player_id
165,28,84,Assist,8,189
166,28,90,Goal,8,191
167,28,90,Assist,8,199
168,28,90,Goal,8,192
169,28,90,Goal,6,156
170,29,22,Yellow Card,11,262
171,29,23,Goal,9,217
172,29,36,Goal,9,217
173,29,36,Assist,9,215
174,29,38,Yellow Card,11,280
175,29,45,Goal,9,215
176,29,45,Assist,9,228
177,29,65,Yellow Card,11,277
178,29,72,Yellow Card,9,224
179,30,2,Goal,10,245
180,30,2,Assist,10,244
181,31,11,Goal,15,385
182,31,16,Yellow Card,15,369
183,31,32,Yellow Card,15,367
184,31,43,Goal,13,328
185,31,43,Assist,13,314
186,31,43,VAR Review,13,328
187,31,56,Yellow Card,13,317
188,31,84,Yellow Card,15,368
189,31,88,Yellow Card,13,332
190,31,88,Yellow Card,15,383
191,31,88,Yellow Card,13,315
192,32,2,Goal,14,361
193,32,2,Assist,14,357
194,32,45,Red Card,14,348
195,32,45,VAR Review,14,348
196,33,30,Goal,19,476
197,33,30,Assist,19,479
198,33,68,Goal,17,442
199,33,68,Assist,17,436
200,33,90,Goal,17,442
201,33,90,Assist,17,439
202,34,90,Yellow Card,18,461
203,35,5,Goal,21,539
204,35,5,Assist,21,531
205,35,17,Goal,21,539
206,35,17,Assist,21,542
207,35,47,Goal,21,531
208,35,47,Assist,21,542
209,35,54,Goal,21,531
210,35,54,Assist,21,544
211,35,59,Goal,23,583
212,35,59,Assist,23,581
213,35,89,Goal,21,544
214,35,89,Assist,21,530
215,36,4,Goal,22,561
216,36,4,Assist,22,559
217,36,31,Goal,22,564
218,36,31,Assist,22,559
219,36,69,Goal,22,560
220,36,69,Assist,22,564
221,36,83,Goal,22,564
222,36,83,Assist,22,570
223,37,1,Yellow Card,25,633
224,37,66,Red Card,25,649
225,38,15,Goal,28,718
226,38,15,Assist,28,704
227,38,58,Goal,26,661
228,38,58,Assist,26,653
229,38,67,Goal,26,660
230,38,67,Assist,26,661
231,38,82,Goal,26,657
232,38,82,Assist,26,660
233,39,10,Goal,29,747
234,39,10,Assist,29,749
235,39,21,Goal,29,749
236,39,21,Assist,29,742
237,39,24,Goal,29,749
238,39,24,Assist,29,738
239,39,49,Goal,31,785
240,40,21,Goal,30,760
241,40,44,Goal,32,826
242,40,44,Assist,32,814
243,40,45,Goal,32,820
244,40,45,Assist,32,826
245,40,61,Goal,30,780
246,41,14,Goal,33,842
247,41,14,Assist,33,843
248,41,54,Goal,33,842
249,41,54,Assist,33,839
250,41,66,Goal,33,839
251,41,66,Assist,33,843
252,42,43,Goal,36,926
253,42,48,Goal,36,919
254,42,48,Assist,36,920
255,42,53,Goal,34,876
256,42,53,Assist,34,868
257,42,58,Goal,36,919
258,42,58,Assist,36,916
259,42,90,Goal,34,876
260,42,90,Assist,34,869
261,43,38,Goal,37,946
262,43,38,Assist,37,961
263,43,90,Goal,37,946
264,44,36,Goal,40,1035
265,44,36,Assist,40,1024
266,44,69,Goal,38,974
267,44,69,Assist,38,969
268,44,82,Goal,38,971
269,45,6,Goal,41,1047
270,45,6,Assist,41,1060
271,45,17,Goal,41,1065
272,45,39,Goal,41,1047
273,45,39,Assist,41,1048
274,45,60,Goal,43,1094
275,45,87,Goal,41,1057
276,45,87,Assist,41,1063
277,46,76,Goal,44,1120
278,46,76,Assist,44,1138
279,47,34,Yellow Card,47,1201
280,47,67,Yellow Card,45,1146
281,48,42,Yellow Card,48,1226
282,48,54,Goal,46,1181
283,48,54,Assist,46,1172
284,49,55,Goal,1,20
285,49,55,Assist,1,7
286,49,61,Goal,1,16
287,49,61,Assist,1,2
288,49,90,Goal,1,8
289,49,90,Assist,1,25
290,50,63,Goal,2,38
291,50,63,Assist,2,34
292,51,46,Goal,8,199
293,51,46,Assist,8,191
294,51,57,Goal,8,191
295,51,57,Assist,8,189
296,51,76,Goal,5,128
297,51,76,Assist,5,129
298,52,29,Goal,6,149
299,52,29,Assist,6,143
300,52,34,Goal,7,157
301,52,42,Goal,7,166
302,52,42,Assist,7,164
303,52,82,Goal,6,156
304,52,82,Assist,6,133
305,53,7,Goal,9,215
306,53,7,Assist,9,234
307,53,45,Goal,9,215
308,53,45,Assist,9,216
309,53,60,Goal,9,217
310,53,60,Assist,9,216
311,54,10,Goal,10,235
312,54,39,Goal,10,236
313,54,43,Goal,11,278
314,54,45,Goal,10,245
315,54,78,Goal,10,243
316,54,89,Goal,10,250
317,55,3,Goal,13,318
318,55,3,Assist,13,326
319,55,10,Goal,16,398
320,55,10,Assist,16,416
321,55,31,Goal,16,396
322,55,31,Assist,16,403
323,55,49,Goal,13,326
324,55,90,Goal,16,412
325,56,46,Yellow Card,15,386
326,56,77,Yellow Card,14,346
327,57,2,Goal,17,435
328,57,2,Assist,17,433
329,57,9,Goal,20,514
330,57,9,Assist,20,509
331,57,77,Goal,20,513
332,57,77,Assist,20,517
333,58,7,Goal,19,487
334,58,64,Goal,19,487
335,59,3,Goal,24,615
336,59,7,Goal,21,539
337,59,54,Goal,24,607
338,59,62,Goal,21,526
339,60,56,Goal,22,557
340,60,62,Goal,23,583
341,61,28,Goal,25,634
342,61,50,Goal,25,634
343,61,66,Goal,25,631
344,61,84,Goal,28,713
345,61,86,Goal,25,633
346,61,90,Goal,25,646
347,62,5,Goal,26,671
348,62,14,Goal,27,699
349,63,42,Goal,29,743
350,63,42,Assist,29,733
351,64,4,Yellow Card,31,792
352,64,8,Yellow Card,30,778
353,64,67,Yellow Card,31,786
354,64,90,Yellow Card,31,789
355,65,7,Goal,33,839
356,65,7,Assist,33,842
357,65,10,Yellow Card,36,916
358,65,20,Goal,33,839
359,65,20,Assist,33,842
360,65,21,Goal,36,929
361,65,21,Assist,36,931
362,65,32,Goal,33,839
363,65,32,Assist,33,840
364,65,74,Yellow Card,33,840
365,65,90,Goal,33,852
366,65,90,Assist,33,844
367,66,4,Goal,34,879
368,66,4,Assist,34,862
369,66,13,Red Card,35,886
370,66,18,Yellow Card,34,862
371,66,56,Goal,34,876
372,66,56,Assist,34,866
373,66,59,Goal,34,884
374,66,59,Assist,34,876
375,66,71,Goal,34,884
376,66,71,Assist,34,871
377,66,75,Yellow Card,35,900
378,66,81,Yellow Card,34,884
379,66,82,Goal,34,871
380,66,82,Assist,34,884
381,66,90,Yellow Card,35,907
382,67,17,Yellow Card,40,1034
383,67,19,Goal,37,947
384,67,31,Goal,37,958
385,67,55,Goal,40,1024
386,67,55,Assist,40,1037
387,67,64,Yellow Card,40,1019
388,67,80,Goal,37,946
389,67,94,Yellow Card,40,1021
390,68,11,Yellow Card,39,995
391,68,28,Goal,39,995
392,68,28,Assist,39,996
393,68,45,Goal,38,979
394,68,45,Assist,38,969
395,68,55,Goal,39,997
396,68,55,Assist,39,994
397,68,60,Goal,38,969
398,68,60,Assist,38,970
399,68,90,Goal,38,969
400,68,90,Assist,38,970
401,68,90,Goal,39,1002
402,68,90,Assist,39,999
403,69,86,Yellow Card,44,1132
404,70,10,Goal,43,1106
405,70,10,Assist,43,1098
406,70,21,Yellow Card,42,1080
407,70,43,Yellow Card,43,1094
408,70,47,Yellow Card,43,1105
409,70,49,Yellow Card,42,1073
410,70,62,Yellow Card,42,1074
411,70,68,Goal,42,1086
412,70,78,Goal,42,1085
413,70,90,Goal,42,1086
414,70,90,Assist,42,1079
415,71,53,Yellow Card,48,1239
416,71,60,Yellow Card,45,1170
417,71,62,Goal,45,1154
418,71,62,Assist,45,1151
419,71,67,Goal,45,1153
420,71,67,Assist,45,1154
421,71,83,Yellow Card,48,1238
422,72,31,Goal,46,1187
423,72,68,Yellow Card,46,1184
424,72,73,Goal,47,1219
425,72,73,Assist,47,1220
426,72,83,Goal,46,1183
427,72,83,Assist,46,1180
428,72,94,Yellow Card,47,1217
429,73,54,Yellow Card,5,129
430,73,67,Yellow Card,5,127
431,73,90,Goal,5,111
