match_id,date,kickoff_time_utc,stage_name,stadium_name,city,country,home_team_name,home_fifa_code,away_team_name,away_fifa_code,home_score,away_score,status,home_xg,away_xg,home_goalkeeper,away_goalkeeper,player_of_the_match_name,referee_name
37,2026-06-21,15:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Belgium,BEL,IR Iran,IRN,0,0,Completed,1.45,0.62,Thibaut Nicolas Courtois,Ali Reza Beiranvand,Ali Reza Beiranvand,Clément Turpin
38,2026-06-21,18:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,New Zealand,NZL,Egypt,EGY,1,3,Completed,0.55,2.15,Maxime Teremoana Crocombe,Elsayed Mohamed Mohamed Elshenawy,Hamed Mahrous Mohamed Salah,Danny Makkelie
39,2026-06-21,21:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Spain,ESP,Saudi Arabia,KSA,4,0,Completed,3.28,0.25,Unai Simon,Khalil Mohammed Alowais,Mikel Oyarzabal,Jesús Valenzuela
40,2026-06-21,23:59,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Uruguay,URU,Cabo Verde,CPV,2,2,Completed,1.65,1.1,Sergio Ramón Rochet,José Vozinha,José Vozinha,Wilton Sampaio
41,2026-06-22,15:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,France,FRA,Iraq,IRQ,3,0,Completed,2.21,0.45,Mike Peterson Maignan,Talib Raheem Fahad Talib,Kylian Mbappe,César Arturo Ramos
42,2026-06-22,18:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Norway,NOR,Senegal,SEN,3,2,Completed,1.95,1.48,Ørjan Haskjold Nyland,Edouard Osoque Mendy,Erling Braut Haaland,Ivan Barton
43,2026-06-22,21:00,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Argentina,ARG,Austria,AUT,2,0,Completed,1.78,0.55,Damián Emiliano Martinez,Alexander Schlager,Lionel Andrés Messi,Mustapha Ghorbal
44,2026-06-22,23:59,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Jordan,JOR,Algeria,ALG,1,2,Completed,0.88,1.92,Mo'ien Hasan Yazeed Abulaila,Melvin Feycal Mastil,Ibrahim Maza,Victor Gomes
45,2026-06-23,15:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Portugal,POR,Uzbekistan,UZB,5,0,Completed,3.54,0.42,Diogo Diogo Costa,Sherzod Nasrullaev,Ronaldo Cristiano Ronaldo,Ma Ning
46,2026-06-23,18:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Colombia,COL,Congo DR,COD,1,0,Completed,1.62,0.58,Camilo Andres Vargas,Lionel Nzau Mpasi,Daniel Munoz,Alireza Faghani
47,2026-06-23,21:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,England,ENG,Ghana,GHA,0,0,Completed,1.12,0.89,Jordan Lee Pickford,Lawrence Ati Zigi,Nico Oreilly,Yoshimi Yamashita
48,2026-06-23,23:59,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Panama,PAN,Croatia,CRO,0,1,Completed,0.42,1.48,Orlando Mosquera,Dominik Livakovic,Ante Budimir,Facundo Tello
49,2026-06-24,18:00,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Czechia,CZE,Mexico,MEX,0,3,Completed,1.1,1.27,Mat ě j Kovar,José Raúl Rangel,Mateo Chavez,Szymon Marciniak
50,2026-06-24,18:00,Group Stage,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,South Africa,RSA,South Korea,KOR,1,0,Completed,1.26,1.39,Ronwen Hayden Williams,Seunggyu Kim,Thapelo Maseko,Daniele Orsato
51,2026-06-24,22:00,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,Switzerland,SUI,Canada,CAN,2,1,Completed,0.71,1.35,Gregor Kobel,Maxime Crepeau,Johan Kula Manzambi,Michael Oliver
52,2026-06-24,22:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Bosnia and Herzegovina,BIH,Qatar,QAT,3,1,Completed,1.48,0.95,Nikola Vasilj,Ibrahim Mahmoud Abunada,Kerim Alajbegovic,Anthony Taylor
53,2026-06-25,18:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Scotland,SCO,Brazil,BRA,0,3,Completed,0.45,2.18,Angus Fraser James Gunn,Ramsés Alisson,José Vinicius,Clément Turpin
54,2026-06-25,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Morocco,MAR,Haiti,HAI,4,2,Completed,2.35,1.12,Yassine Bounou,Johny Placide,Achraf Hakimi,Danny Makkelie
55,2026-06-25,22:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Türkiye,TUR,USA,USA,3,2,Completed,1.62,1.45,Fehmi Mert Gunok,Matthew Charles Turner,Arda Guler,Jesús Valenzuela
56,2026-06-25,22:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Paraguay,PAR,Australia,AUS,0,0,Completed,0.55,0.48,Roberto Junior Fernandez,Mathew David Ryan,Roberto Junior Fernandez,Wilton Sampaio
57,2026-06-26,18:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Ecuador,ECU,Germany,GER,2,1,Completed,1.28,1.55,Hernán Ismael Galindez,Manuel Peter Neuer,Nilson David Angulo,César Arturo Ramos
58,2026-06-26,18:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Curaçao,CUW,Côte d'Ivoire,CIV,0,2,Completed,0.32,1.68,Eloy Victor Room,Yahia Fofana,Nicolas Pepe,Ivan Barton
59,2026-06-26,22:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Tunisia,TUN,Netherlands,NED,1,3,Completed,0.62,2.15,Aymen Dahmen,Bart Verbruggen,Brian Ebenezer Adjei Brobbey,Mustapha Ghorbal
60,2026-06-26,22:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Japan,JPN,Sweden,SWE,1,1,Completed,1.12,0.95,Zion Suzuki,Jacob Mikael Widell Zetterstrom,Daizen Maeda,Victor Gomes
61,2026-06-27,18:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,New Zealand,NZL,Belgium,BEL,1,5,Completed,0.48,3.25,Maxime Teremoana Crocombe,Thibaut Nicolas Courtois,Leandro Trossard,Ma Ning
62,2026-06-27,18:00,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Egypt,EGY,IR Iran,IRN,1,1,Completed,0.85,0.92,Elsayed Mohamed Mohamed Elshenawy,Ali Reza Beiranvand,Ramin Rezaeian,Alireza Faghani
63,2026-06-27,22:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Uruguay,URU,Spain,ESP,0,1,Completed,0.78,1.35,Sergio Ramón Rochet,Unai Simon,Alejandro Baena,Yoshimi Yamashita
64,2026-06-27,22:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Cabo Verde,CPV,Saudi Arabia,KSA,0,0,Completed,0.42,0.38,José Vozinha,Khalil Mohammed Alowais,José Vozinha,Facundo Tello
65,2026-06-26,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Norway,NOR,France,FRA,1,4,Completed,1.3,0.96,Ørjan Haskjold Nyland,Mike Peterson Maignan,Masour Ousmane Dembele,Szymon Marciniak
66,2026-06-26,18:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Senegal,SEN,Iraq,IRQ,5,0,Completed,3.01,0.14,Edouard Osoque Mendy,Basil Fadhil Ahmed,Iliman Cheikh Baroy Ndiaye,Daniele Orsato
67,2026-06-27,22:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Jordan,JOR,Argentina,ARG,1,3,Completed,0.76,2.13,Mo'ien Hasan Yazeed Abulaila,Damián Emiliano Martinez,Lionel Andrés Messi,Michael Oliver
68,2026-06-27,22:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Algeria,ALG,Austria,AUT,3,3,Completed,1.62,1.44,Melvin Feycal Mastil,Alexander Schlager,Riyad Karim Mahrez,Anthony Taylor
69,2026-06-28,18:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Colombia,COL,Portugal,POR,0,0,Completed,1.62,0.73,Camilo Andres Vargas,Diogo Diogo Costa,Diogo Diogo Costa,Clément Turpin
70,2026-06-28,18:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Congo DR,COD,Uzbekistan,UZB,3,1,Completed,2.35,0.2,Lionel Nzau Mpasi,Abduvakhid Nematov,Yoane Wissa,Danny Makkelie
71,2026-06-28,22:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Panama,PAN,England,ENG,0,2,Completed,0.69,1.39,Orlando Mosquera,Jordan Lee Pickford,Jude Victor William Bellingham,Jesús Valenzuela
72,2026-06-28,22:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Croatia,CRO,Ghana,GHA,2,1,Completed,0.42,0.74,Dominik Livakovic,Benjamin Asare,Petar Sucic,Wilton Sampaio
73,2026-06-29,12:00,Round of 32,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,South Africa,RSA,Canada,CAN,0,1,Completed,0.13,1.32,Ronwen Hayden Williams,Maxime Crepeau,Stephen Eustaquio,César Arturo Ramos
74,2026-06-29,23:00,Round of 32,Houston Stadium (NRG Stadium),Houston,USA,Brazil,BRA,Japan,JPN,,,Scheduled,,,,,,Ivan Barton
75,2026-06-30,02:30,Round of 32,Boston Stadium (Gillette Stadium),Foxborough,USA,Germany,GER,Paraguay,PAR,,,Scheduled,,,,,,Mustapha Ghorbal
76,2026-06-30,07:00,Round of 32,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Netherlands,NED,Morocco,MAR,,,Scheduled,,,,,,Victor Gomes
77,2026-06-30,23:00,Round of 32,Dallas Stadium (AT&T Stadium),Arlington,USA,Côte d'Ivoire,CIV,Norway,NOR,,,Scheduled,,,,,,Ma Ning
78,2026-07-01,03:00,Round of 32,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,France,FRA,Sweden,SWE,,,Scheduled,,,,,,Alireza Faghani
79,2026-07-01,07:00,Round of 32,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Mexico,MEX,Ecuador,ECU,,,Scheduled,,,,,,Yoshimi Yamashita
80,2026-07-01,22:00,Round of 32,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,England,ENG,Congo DR,COD,,,Scheduled,,,,,,Facundo Tello
81,2026-07-02,02:00,Round of 32,Seattle Stadium (Lumen Field),Seattle,USA,Belgium,BEL,Senegal,SEN,,,Scheduled,,,,,,Szymon Marciniak
82,2026-07-02,06:00,Round of 32,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,USA,USA,Bosnia and Herzegovina,BIH,,,Scheduled,,,,,,Daniele Orsato
83,2026-07-03,01:00,Round of 32,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Spain,ESP,Austria,AUT,,,Scheduled,,,,,,Michael Oliver
84,2026-07-03,05:00,Round of 32,Toronto Stadium (BMO Field),Toronto,CAN,Portugal,POR,Croatia,CRO,,,Scheduled,,,,,,Anthony Taylor
85,2026-07-03,09:00,Round of 32,Vancouver Stadium (BC Place),Vancouver,CAN,Switzerland,SUI,Algeria,ALG,,,Scheduled,,,,,,Clément Turpin
86,2026-07-04,00:00,Round of 32,Dallas Stadium (AT&T Stadium),Arlington,USA,Australia,AUS,Egypt,EGY,,,Scheduled,,,,,,Danny Makkelie
87,2026-07-04,04:00,Round of 32,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Argentina,ARG,Cabo Verde,CPV,,,Scheduled,,,,,,Jesús Valenzuela
88,2026-07-04,07:30,Round of 32,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Colombia,COL,Ghana,GHA,,,Scheduled,,,,,,Wilton Sampaio
89,2026-07-04,23:00,Round of 16,Houston Stadium (NRG Stadium),Houston,USA,Canada,CAN,Unknown,UNK,,,Scheduled,,,,,,César Arturo Ramos
